brand,name,reviews_rating_number,review_amount,old_price,old_price_cents,new_price,new_price_cents
NEW BALANCE,Tênis Homem Mulher New Balance Academia Treino Macio 34 A 43,,,333,33,139,99
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
OLYMPIKUS,Tênis Olympikus Inverse Masculino Estiloso Moderno Casual,,,349,99,325,49
FILA,Tenis Masculino Fila Racer Comet Corrida Caminhada Original,,,349,90,34,99
,Tênis Masculino Casual Minimalista Macio E Confortável,,,119,90,39,97
UNDER ARMOUR,Tênis Under Armour Corrida Macio Leve Confortável Resistente,,,499,99,319,99
REEBOK,Tenis Reebok Nano X4 Masculino 100074302 L,,,999,44,99,94
OLYMPIKUS,Tênis Masculino Olympikus Veloz 3 Reforçado Estiloso Moderno,,,299,99,260,99
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
LORENZZO LOPEZ,Tenis Masculino Casual Esporte Academia Leve Promoção Barato,,,46,92,15,64
LORENZZO LOPEZ,Tenis Masculino Caminha Academia Super Leve Promoção Oferta,,,46,90,4,55
OLYMPIKUS,Tênis Esportivo Olympikus Treino Academia Corrida,,,279,99,246,39
OLYMPIKUS,Tênis Olympikus Veloz 3 Masculino Laranja,,,299,99,33,33
OLYMPIKUS,Tênis Adulto Olympikus Veloz 3 Esportivo Original Running,,,299,99,33,33
OLYMPIKUS,Tênis Olympikus Eleva Pro Max Inverse Masculino Lançamento,,,349,99,325,49
,Tênis Masculino Advanced Speed Corrida Confortável Ultra Lev,,,149,90,134,91
MIZUNO,Tênis Mizuno Corrida Esporte Trabalho Treino Space 4 1010880,,,329,99,33,99
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
OLYMPIKUS,Tênis Olympikus Academia Confortável Corrida Macio Caminhada,,,249,90,31,24
,Tênis Masculino Esportivo Leve Caminhada Corrida Treino,,,112,58,41,65
,Kit 3 Pares Tênis Lona Macia Sapatênis Esporte Fino Promoção,,,99,90,33,30
ASICS,Tênis Asics Gel Nimbus 26 Azul Marinho - Masculino,,,1.299,99,935,74
UNDER ARMOUR,Tênis Under Armour Ua Ch.hit Se Corrida Caminhada Masculino,,,499,99,50,99
FILA,Tênis Running Masculino Running Fila Progress Lite Preto,,,370,46,274,14
,Tênis Ascension Sneaker Confortavel Ortopédico Casual Fitnes,,,179,90,118,73
,Tenis Masculino Treino Skate Sport Racer Corrida Sapato,,,78,99,26,33
,Tenis Masculino Run Treino Skate Sport Corrida Sapato,,,78,99,26,33
,Tenis Run Masculino Treino Skate Sport Corrida Sapato,,,78,99,26,33
FILA,Tênis Fila Recovery Masculino Corrida Caminhada Academia,,,344,99,34,50
NEW BALANCE,Tênis New Balance Arishi V4 Masculino + 3 Pares De Meias Pta,,,509,90,50,99
FILA,Tênis Academia Corrida Fila Maxximus Original Masculino,,,427,90,41,48
OLYMPIKUS,Tênis Masculino Olympikus Volcan 2 Esportivo 43538342,,,210,99,30,14
FILA,Tênis Fila Ride Masculino Leve Para Corridas E Caminhadas,,,317,99,31,80
NEW BALANCE,Tênis New Balance Masculino Fuelcell Supercomp Trainer V3,,,2.340,17,1.404,17
FILA,Tênis Fila Racer Speedzone Macio Leve Confortável Masculino,,,599,99,58,17
SKECHERS,Tênis Skechers Masculino Ultra Flex 2.0 - Musgo,,,399,90,39,90
MIZUNO,Tenis Knit Masculino Mizuno Zest 2   101117117,,,479,99,48,99
,Kit 3 Tênis Masculino Meia Sem Cadarço Calce Fácil Leve,,,174,80,34,80
OLYMPIKUS,Tênis Olympikus Inverse Cinza Corrida Macio Leve Resistente,,,349,99,33,93
OLYMPIKUS,Tenis Olympikus Inverse Masculino Corrida Super Macio,,,345,90,321,68
ADIDAS,Tênis adidas Duramo Rc Masculino Corrida - Caminhada,,,349,90,34,99
UNDER ARMOUR,Tênis Esportivo Corrida Under Armour Ch Slight 3 Masculino ,,,399,99,40,99
OLYMPIKUS,Tênis Olympikus Corrida Macio Leve Confortável - Masculino,,,349,99,325,49
UNDER ARMOUR,Tênis Masculino Under Armour Wing Se Esportivo Preto,,,349,90,34,99
UNDER ARMOUR,Tênis Under Armour Wing Se Preto,,,349,90,34,99
,Tênis Masculino Corrida Advanced Speed Caminhada Academia,,,159,90,135,91
WAVE,Tênis Masculino Para Academia Wave Creation 20 Promoção Full,,,69,90,6,79
,Tênis Masculino Leve Confortável Pra Treino Casual Esportivo,,,61,90,6,02
UNDER ARMOUR,Tênis Under Armour Wing Se Confortável Preto,,,349,90,34,99
OLYMPIKUS,Tênis Esportivo Masculino Olympikus Rua Original C/ Nfe,,,249,99,31,25
OLYMPIKUS,Tênis Olympikus Volta Academia Corrida Original Masculino,,,308,80,30,80
OLYMPIKUS,Tênis Olympikus Subverse Lunar Cinza E Verde - Masculino,,,349,99,35,99
,Tênis Masculino Esporte Academia Casual Moderno + Relógio,,,129,90,119,50
FILA,Tênis Esportivo Masculino Corrida Academia Fila Recovery,,,379,90,36,83
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
ABUZZE,Tênis Masculino De Corrida Abuzze Original Confortavel Macio,,,99,99,33,33
LORENZZO LOPEZ,Tenis Masculino Academia Esporte Caminhada Casual Promoção,,,64,90,21,63
OLYMPIKUS,Tênis Olympikus Masculino Branco Original Academia Corrida,,,369,99,273,79
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Cinza E Preto - Masculino,,,399,99,223,99
UNDER ARMOUR,Tênis Under Armour Charged Great Masculino Marinho,,,299,22,33,22
FILA,Tênis Fila Extra F01r00095 Masculino Corrida,,,199,90,19,43
,Tênis Confortável Masculino Com Cadarço E Sola De Borracha,,,68,90,6,70
,Tênis Masculino Comfortável E Leve  Esportivo Casual Cardaço,,,68,90,6,70
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
,Tênis Masculino Leve Confortável Para Caminhada Casual,,,61,90,6,02
,Tênis Masculino Confortável E Leve  Sola De Borracha,,,61,90,6,02
FILA,Tênis Racer Fila Masculino Fila Lançamento 2024,,,399,90,295,92
UNDER ARMOUR,Tênis Original Under Armour Ua Ch.hit Se Macio - Masculino,,,499,99,294,99
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Para Corrida Treino Academia,,,399,99,243,99
,Tênis Adventure Bico Reforçado Couro Palmilha Gel Intruder,,,199,99,167,99
,Kit 2 Tênis Masculino Ferrari Scuderia Caminhada Leve Oferta,,,299,99,173,99
ASICS,Tênis Asics Gel Revelation Original Academia Corrida 34 A 43,,,333,33,99,99
,Tênis Masculino Esportivo Academia Corrida Anti Impacto,,,78,90,66,27
FILA,Tênis Fila Progress Lite Cinza Preto Unissex ,,,299,90,284,90
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
OLYMPIKUS,Tênis Olympikus Mescla Academia Dia A Dia Masculino,,,245,62,30,62
MIZUNO,Tenis Mizuno Wave Stratos 2 Masculino Corrida,,,688,08,639,91
,Tênis Ascension Sneaker Confortavel Ortopédico Crossfit,,,179,90,118,73
LORENZO,Tênis Esporte Leve Perfeito Para Corrida Envio Imediato,,,89,90,29,97
,Tênis Masculino Esportivo Academia Confortável Preto Prata,,,69,90,23,30
,Tênis Masculino Esportivo Academia Caminhada Cinza Preto,,,69,90,23,30
FILA,Tênis Fila Racer Speedzone Corrida Resistente - Masculino,,,599,99,58,17
ASICS,Tênis Masculino Asics Challenger 14,,,747,42,72,42
EVOLTENN,Combo 2 Tênis Casual Esportivo Confortável Corrida Aproveite,,,169,90,161,40
UNDER ARMOUR,Tênis Under Armour Quicker Corrida Academia Original,,,349,90,34,99
,Tênis Masculino Advanced Racing Sola Ultra Leve Macia,,,99,90,92,90
OLYMPIKUS,Tênis Olympikus Para Caminhada Wellness 2 Ref: 186 Masculino,,,229,90,22,35
ULTRABONE,Tênis Ultrabone Black Muito Leve Para Exercícios + Relógio,,,78,90,74,95
OLYMPIKUS,Tênis Olympikus Beats Masculino Preto Promoção Pix Adulto,,,339,86,250,32
,Tenis Masculino Treino Skate Sport Corrida Sapato Racer,,,78,99,26,33
VIA LIVRE,Tênis Masculino Advanced Triáthlon Trilha Academia Corrida,,,156,90,145,91
,Tênis Masculino Advanced Racing Academia Corrida Leve Macio,,,78,90,26,30
VIA LIVRE,Tênis Advanced Masculino Esporte Academia Corrida Trilha,,,137,98,13,41
,Ténis Esportivo Confortavel 9060  Balanc Legitimo Importado,,,397,70,39,70
,Tênis Masculino Advanced Speed Competição Corrida Sola Leve,,,159,90,119,92
,Kit 2 Tênis Masculino Sola Reta Confortável + Acessórios!,,,95,80,47,90
,Tênis Sb Esportivo Masculino Nylon Para Caminhada E Corrida,,,110,40,81,13
,Tênis Esportivo Caminhada Exercícios Treinos Leve Velocidade,,,110,40,81,13
,Kit 2 Tênis Masculino Dia A Dia Mais Barato Macio Leve Promo,,,93,80,46,90
,Kit 2 Sapatenis Masculino Casual Dia A Dia Promoção Confira!,,,93,80,46,90
,Kit 2 Tênis Masculino Casual Dia A Dia Sola Reta Acessórios.,,,45,90,4,45
,Kit 2 Tênis Masculino Casual Dia A Dia + Acessórios Barato!,,,45,90,4,45
,Kit 2 Tênis Masculino Sport Fino Elegante + Acessórios Promo,,,91,80,45,90
,Sapatilha Náutica Antiderrapante + Relógio Led,,,49,90,16,63
,Kit 2 Sapatenis Masculino Casual Sola Macia Leve Acessórios.,,,87,80,43,90
,Kit 2 Sapatenis Masculino Social Sola Reta Confortável Promo,,,87,80,43,90
,Kit 2 Tênis Social Casual Masculino + Acessórios Da Moda!,,,81,80,40,90
,Ma1 Tênis Hoka Cielo X1 Unissex,,,910,97,774,30
MIZUNO,Tênis Mizuno Oracle Masculino Marinho Treino Academia,,,409,90,39,74
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
LORENZZO LOPEZ,Tenis Masculino Corrida Super Macio Caminhada Oferta Barato,,,46,90,15,63
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
,Tênis Unissex Leve Confortável Tnis Pronta Entrega Promoção,,,110,,99,
NEW BALANCE,Tênis New Balance Fresh Foam Arishiv4 Masculino Preto Branco,,,469,90,446,40
FILA,Tênis Fila Racer Speedzone Azul E Branco - Masculino,,,599,99,58,17
OLYMPIKUS,Tênis Original Olympikus Inverse Corrida Macio - Masculino,,,349,99,33,93
OLYMPIKUS,Tenis Olympikus Original Couro Treino Macio Envio Imediato,,,399,90,127,96
,Tênis De Corrida Hoka One Clifton 9,,,601,60,60,16
ABUZZE,Tênis Masculino Abuzze Run Original,,,99,90,33,30
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
,Kit 2 Tênis Masculino Ferrari Scuderia Caminhada Leve Oferta,,,299,99,173,99
FILA,Tênis Fila Transition Masculino Adulto Tamanho Grande,,,199,90,19,43
ACTVITTA,Tênis Masculino Academia Confortável Nylon Macio Actvitta,,,189,90,140,52
MIZUNO,Tênis Masculino Mizuno Jet 6 Caminhar - Corrida,,,319,98,31,02
,Tênis Fitness Adulto Macio Leve E Confortável Alta Qualidade,,,119,90,39,97
VANS,Tênis Ultrarange Rapidweld Black White Oferta Imperdível,,,399,99,163,99
FILA,Tênis Corrida Fila Racer Carbon - Marinho E Limão,,,989,62,573,36
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
OLYMPIKUS,Tenis Masculino Olympikus Academia Caminhada Corrida Macio,,,399,90,119,97
,Tênis Masculino Esportivo Academia Corrida Anti Impacto,,,78,90,66,27
,Tênis Unissex 33 Ao 44 Academia Molas Creation Wave 20 Mlzn0,,,79,99,26,66
FILA,Tênis Fila Float Maxxi 2 Pro + Nota Fiscal,,,899,90,692,92
OLYMPIKUS,Tênis Olympikus Volta Corrida Original Eva Eleva Pro Max,,,277,99,26,95
MIZUNO,Tênis De Corrida Mizuno Wave Serene,,,699,99,67,86
,Corrida De Tênis Para Hoka One Challenger Art 7.,,,539,92,53,99
LORENZZO LOPEZ,Tenis Masculino Corrida Leve Confortável Super Leve Promoção,,,46,90,42,21
MIZUNO,Kit 1 Tênis De Corrida Masculino Mizuno Wave Skyrise 4 E 1 M,,,449,99,43,63
OLYMPIKUS,Tênis Olympikus Mescla 43534344 Pewter,,,213,90,30,56
OLYMPIKUS,Tênis Olympikus Mescla 43534344 Marinho,,,213,90,30,56
OLYMPIKUS,Tênis Olympikus Mescla 43534344 Pewter,,,213,90,30,56
MIZUNO,Tenis Mizuno Cool Ride 2 Original + Nota Fiscal,,,379,90,303,92
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,4.8,(8991),349,99,199,99
ASICS,Tênis Asics Superblast 2 Paris Cinza Masculino Corrida,,,1.600,,160,
,Tênis De Corrida Hoka One One Speedgoat 5,,,864,99,735,20
SALOMON,Tênis Masculino Salomon Drx Defy Grvl Preto Vermelho Running,,,1.199,90,119,90
,Tênis De Corrida Masculino Hoka Challenger Atr 6,,,863,86,734,24
,On- Cloudsurfer Tênis Tênis De Corrida Feminino E Masculino,,,590,28,59,03
,Tênis Original Miiler's Unissex Para Academia Leve Com Molas,,,79,99,26,66
,Hoka One Elevon 2 Para Tênis E Corrida,,,596,08,59,61
SALOMON,Tênis Masculino Salomon Drx Defy Grvl Preto Vermelho Running,,,1.079,90,107,90
ABUZZE,Tênis Masculino De Corrida I Free-run,,,149,90,37,48
,Sapatos Tênis Robustos Masculinos Tênis De Corrida Com,,,173,55,34,71
LORENZZO LOPEZ,Tenis Masculino Esporte Academia Corrida Casual Promoção,,,64,90,58,41
MIZUNO,Tenis Mizuno Mirai 5 Original + Nota Fiscal,,,299,90,33,32
MIZUNO,Tênis Eportivo  Mizuno Action 4144307-7182,,,249,90,31,24
OLYMPIKUS,Tênis Olympikus Corrida Masculino Challenger 5,,,279,90,31,10
LORENZZO LOPEZ,Tenis Casual Masculino Caminha Esporte Leve Macio Promoção,,,46,92,42,22
LORENZZO LOPEZ,Tenis Masculino Academia Caminha Super Macio Na Promoção,,,46,90,42,21
ABUZZE,Promoção Imperdível Tênis Masculino Airboost Eva,,,110,90,36,97
TESLA,Promoção Tenis Tesla Coil Preto Branco Cinza Skate Refletivo,,,379,90,208,94
DUBBELE,Tênis Wave Force Creation Masculino Corrida Envio Imediato!!,,,309,96,99,18
LORENZZO LOPEZ,Tênis Masculino Esportivo Corrida Caminhada Amortecedor,,,99,62,9,62
,On -cloudmonster Tênis Tênis De Corrida Feminino E Masculino,,,597,34,59,73
SKECHERS,Tênis Skechers 55103br Go Run Fast Valor Bbk All Black,,,249,20,24,20
,Sapatos Caminhada Táticos Baixos - Resistentes Ao Desgaste,,,227,60,200,29
LORENZZO LOPEZ,Tenis De Corrida Academia Caminhada Super Leve Macio Oferta,,,46,91,42,21
WAVE,Kit 3 Tênis Esportivo Wave Creation 20 Academia Caminhada Or,,,219,91,31,42
NEW BALANCE,Tênis Homem Mulher New Balance Academia Treino Macio 34 A 43,,,333,33,139,99
,Tênis Masculino Advanced Speed Corrida Esportivo Sola Leve,,,109,90,65,94
LORENZZO LOPEZ,Tenis Masculino Academia Macio Caminhada Corrida Leve Barato,,,46,90,42,21
VANS,Tênis Vans Ultrarange Vr3 Neo Digital  Navy Dress Blues,,,314,99,31,50
,F13   Nos Tênis De Corrida Cloudflyer De 4ª Geração,,,891,10,89,10
,F9   Nos Tênis De Corrida Cloudflyer De 4ª Geração,,,891,10,89,10
,Tênis Masculino Casual Br Preto Cinza,,,64,90,6,31
MIZUNO,Tenis Mizuno Falcon 2 Masculino,,,339,90,32,95
ABUZZE,Tênis Masculino De Corrida Abuzze Original Confortavel Macio,,,99,99,33,33
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
LORENZZO LOPEZ,Tenis De Corrida Masculino Corrida Leve Promoção Oferta,,,46,92,15,64
LORENZZO LOPEZ,Tenis Masculino Caminhada Esporte Macio Leve Barato Promoção,,,46,91,42,21
SKECHERS,Tênis Skechers 55103br Go Run Fast Valor Bbk All Black,,,349,90,34,90
,Sapatos Caminhada Táticos Baixos - Resistentes Ao Desgaste,,,227,60,202,56
ASICS,Tênis Asics Revelation Original Couro Leve Academia Promoção,,,333,33,99,99
NOVAFLEX,Tenis Casual Calce Facil Masculino Feminino Ortopedico,,,46,90,15,63
ASICS,Tênis Asics Gel Gt-1000 12 Marinho/laranja Masculino Corrida,,,679,99,68,99
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
ASICS,Tenis Asics Gt-1000 13 1011b858 Original,,,887,77,88,78
,Novos Sapatos Minimalistas Descalistas Largos Para Homens,,,193,46,32,24
FILA,Tenis Fila Improve F01r00139,,,399,99,40,99
WAVE,Kit 3 Pares De Tênis Masculino Academia Caminhada Corrida Og,,,219,91,31,42
ABUZZE,Tênis Masculino De Corrida I Free-run Esportivo Promoção,,,110,,99,
PUMA,Tênis Puma Homem Mulher Original Treino Macio 34 A 43 Barato,,,333,33,129,99
OLYMPIKUS,Tênis Para Caminhada Olympikus Conex Esportivo Masculino,,,209,99,20,41
ASICS,Tênis Original Couro Asics Leve Academia Promoção Envio Full,,,333,33,99,99
,R5 Nuvem 5,,,865,45,86,54
,Calçados Esportivos Casuais Tênis De Malha Respirável,,,208,54,34,76
,Tênis De Corrida De Trilha Xu11 No Cloudsurfer,,,954,90,811,62
,Tênis De Corrida Xu3 Em Cloudsurfer,,,954,90,811,62
,Tênis De Corrida Xu5 No Cloudsurfer,,,954,90,811,62
,. Sapatos De Meia Cano Alto,,,141,45,125,92
,Xz7 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz8 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz3 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz16 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz5 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz9 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz14 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz12 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz10 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz2 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz1 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz15 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz11 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz18 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
,Xz6 C3onapa X3 Experiência De Corrida Além Do Limite,,,939,82,798,82
HOKA,A9 Hoka One Clifton 8,,,550,,55,
,Tênis Masculino Casual Para Caminhada Treino Academia,,,57,90,5,63
,General Sapatilhas Anti-choque Para Homens,,,332,01,33,20
ESPORTIVO,Tênis Skatista Masculino Feminino Old School Leve Promoçao,,,59,93,53,93
OLYMPIKUS,Tênis Esportivo Olympikus Inverse Eleva Pro Max Confortável,,,349,90,34,90
WAVE,Promoção Tenis Ls Flor De Lotus Wave Premium Amortecedor,,,174,90,160,90
STREET WALKER,Tênis Masculino Esportivo Academia Treino Leve Confortável,,,49,99,47,49
ABUZZE,Tênis Masculino Abuzze Run Original,,,99,90,33,30
WAVE,Kit 3 Tênis Esportivo Wave Creation 20 Academia Caminhada Or,,,219,91,31,42
,Tênis Número Especial Esportivo Corrida E Academia 44-48,4.2,(105),149,90,112,42
STREET WALKER,Tênis Masculino Academia Esportivo Leve Confortável Treino,,,49,99,47,49
,. Tênis Na Nuvem Branca Tênis Esportivos,,,717,96,71,80
QIX,Tênis Qix Db 3 - 204006,,,185,91,30,98
QIX,Tênis Qix Db 3 - 204009,,,185,91,30,98
,Tênis De Corrida Masculino Confortável Montanhas Treinamento,,,170,13,34,03
MA,On Na Série De Tênis De Corrida.,,,685,13,68,51
,Tênis Masculino Advanced Speed Corrida Esportivo Sola Leve,,,109,90,65,94
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
WAVE,Kit 3 Pares Tênis Academia Caminhada Corrida Wave Creation,,,219,92,31,42
,Tênis Esportivo Masculino Ecotênis Extra Leve Conforto,,,79,90,26,63
OLYMPIKUS,Kit 1 Tênis Olympikus Asfalto E 1 Tênis Olympikus Titanium,,,479,99,48,99
,Sapatos Casuais Tênis De Corrida Calçados Esportivos-321,,,227,60,32,51
ASICS,Tênis Couro Asics Academia Treino Entrega Rápida 34 Ao 39,,,333,33,99,99
,Tênis De Corrida Tênis Tênis Para Caminhada,,,176,96,35,39
LORENZZO LOPEZ,Tenis Masculino Corrida Super Macio Caminhada Oferta Barato,,,46,90,15,63
ABUZZE,Tênis Masculino De Corrida Abuzze Original Confortavel Macio,,,99,99,33,33
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
,Tênis Gaikan Esportivo Academia Caminhada Corrida Trabalhar,,,88,09,29,36
MIZUNO,Kit 1 Tênis De Corrida Masculino Mizuno Wave Frontier 15 E 1,,,549,99,55,99
,Sapatos Casuais Tênis De Corrida Calçados Esportivos-325,,,204,84,34,14
,General Sapatilhas Sapatilhas Sapatilhas Sapatilhas Para,,,228,57,32,65
,Tênis Adventure Couro Masculino Palmilha Gel Trilha 2085,,,149,90,37,48
OLYMPIKUS,Tênis Olympikus Masculino Veloz 2 Academia Caminhada Adulto,,,279,90,207,12
,General Couro Sintético Lazer Esportes Tênis P/ Men,,,212,24,30,32
SKECHERS,Tênis Skechers 55103br Go Run Fast Valor Bbk All Black,,,294,67,32,67
WAVE,Tênis Para Corrida E Academia Masculino Wave Creation 20,,,94,93,31,64
SKECHERS,Tênis Skechers 246005 Go Run Ride 9 Solado Goodyear Preto,,,494,89,47,89
MIZUNO,Tênis De Corrida Masculino Mizuno Wave Prodigy 6,,,699,99,70,99
,. Sapatos De Meia De Cano Alto,,,143,27,35,82
OLYMPIKUS,Tênis De Corrida Olympikus Original Rua Unissex,,,249,99,31,25
OLYMPIKUS,Tênis Masculino Olympikus Venum,,,229,99,32,86
NEW BALANCE,Tênis Homem New Balance 247 Luxe Academia Caminhada + Frete,,,516,80,154,96
NEW BALANCE,Tênis New Balance 247 Couro Macio Original Envio Imediato,,,516,80,154,96
,Tênis Casual Masculino Respirável Soft Sole,,,165,81,33,16
,Sapatos Respiráveis Masculinos A,,,159,32,31,86
,Montanhismo Trilha De Caminhada Ao Ar Livre Esportes Corrida,,,108,51,36,17
,Tênis Masculino Esportivo Caminhada Treino Envio Imediato,,,59,99,20,99
NEW BALANCE,Tênis New Balance 411v3 Corrida Preto Vermelho Masculino,,,358,90,35,89
VANS,Tênis Vans Ultrarange Vr3 Neo Digital Dementia Black White,,,314,99,31,50
NEW BALANCE,Tênis Homem Mulher New Balance Academia Treino Macio 34 A 43,,,333,33,139,99
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
ABUZZE,Tênis Masculino Sports Corrida Caminhada 100%confortável,,,72,90,7,09
,Tênis De Basquete Masculinos Plus Size Irving,,,218,10,31,16
OLYMP,Tênis Feminino Olymp Academia Esportivo Lançamento Promoção,,,299,99,89,99
OLYMPIKUS,Tênis Olympikus Diffuse 5 Marinho/amarelo Masculino,,,299,99,33,33
WAVE,Tênis Esportivo Masculino Wave Creation 20 Molas Para Corrid,,,93,92,31,31
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
LORENZZO LOPEZ,Tenis Masculino Academia Esporte Caminhada Casual Promoção,,,64,90,21,63
LORENZZO LOPEZ,Tenis Masculino Casual Esportivo Super Leve Macio Conforto,,,64,92,58,42
,Tênis Masculino Bmw Motorsport 3.0 Casual Esportivo Promoção,,,99,99,52,99
,Tênis Academia Meia Esportivo Leve Caminhada Corrida Treino,,,39,98,13,33
LORENZZO LOPEZ,Tenis Masculino Casual Esporte Academia Leve Promoção Barato,,,46,92,15,64
LORENZZO LOPEZ,Tenis De Corrida Masculino Corrida Leve Promoção Oferta,,,46,92,15,64
